#TLD,TYPE
sncf,generic
so,country-code
soccer,generic
social,generic
softbank,generic
software,generic
sohu,generic
solar,generic
solutions,generic
song,generic
sony,generic
soy,generic
spa,generic
space,generic
spiegel,generic
sport,generic
spot,generic
spreadbetting,generic
sr,country-code
srl,generic
srt,generic
ss,country-code
st,country-code
stada,generic
staples,generic
star,generic
starhub,generic
statebank,generic
statefarm,generic
statoil,generic
stc,generic
stcgroup,generic
stockholm,generic
storage,generic
store,generic
stream,generic
studio,generic
study,generic
style,generic
su,country-code
sucks,generic
supplies,generic
supply,generic
support,generic
surf,generic
surgery,generic
suzuki,generic
sv,country-code
swatch,generic
swiftcover,generic
swiss,generic
sx,country-code
sy,country-code
sydney,generic
symantec,generic
systems,generic
sz,country-code
tab,generic
taipei,generic
talk,generic
taobao,generic
target,generic
tatamotors,generic
tatar,generic
tattoo,generic
tax,generic
taxi,generic
tc,country-code
tci,generic
td,country-code
tdk,generic
team,generic
tech,generic
technology,generic
tel,sponsored
telecity,generic
telefonica,generic
temasek,generic
tennis,generic
teva,generic
tf,country-code
tg,country-code
th,country-code
thd,generic
theater,generic
theatre,generic
tiaa,generic
tickets,generic
tienda,generic
tiffany,generic
tips,generic
tires,generic
tirol,generic
tj,country-code
tjmaxx,generic
tjx,generic
tk,country-code
tkmaxx,generic
tl,country-code
tm,country-code
tmall,generic
tn,country-code
to,country-code
today,generic
tokyo,generic
tools,generic
top,generic
toray,generic
toshiba,generic
total,generic
tours,generic
town,generic
toyota,generic
toys,generic
tp,country-code
tr,country-code
trade,generic
trading,generic
training,generic
travel,sponsored
travelchannel,generic
travelers,generic
travelersinsurance,generic
trust,generic
trv,generic
tt,country-code
tube,generic
tui,generic
tunes,generic
tushu,generic
tv,country-code
tvs,generic
tw,country-code
tz,country-code
ua,country-code
ubank,generic
ubs,generic
uconnect,generic
ug,country-code
uk,country-code
um,country-code
unicom,generic
university,generic
uno,generic
uol,generic
ups,generic
us,country-code
uy,country-code
uz,country-code
va,country-code
vacations,generic
vana,generic
vanguard,generic
vc,country-code
ve,country-code
vegas,generic
ventures,generic
verisign,generic
versicherung,generic
vet,generic
vg,country-code
vi,country-code
viajes,generic
video,generic
vig,generic
viking,generic
villas,generic
vin,generic
vip,generic
virgin,generic
visa,generic
vision,generic
vista,generic
vistaprint,generic
viva,generic
vivo,generic
vlaanderen,generic
vn,country-code
vodka,generic
volkswagen,generic
volvo,generic
vote,generic
voting,generic
voto,generic
voyage,generic
vu,country-code
vuelos,generic
wales,generic
walmart,generic
walter,generic
wang,generic
wanggou,generic
warman,generic
watch,generic
watches,generic
weather,generic
weatherchannel,generic
webcam,generic
weber,generic
website,generic
wed,generic
wedding,generic
weibo,generic
weir,generic
wf,country-code
whoswho,generic
